contour_points,amount_contours,rect_area,hull_area,approximation_area,contour_perimeters,corners,harris_corners,ratio_wide_length,contour_length_area_ratio,contour_length_rect_area_ratio,contour_length_hull_area_ratio,contour_rect_length_ratio,contour_hull_length_ratio,extent,solidity,hull_rectangle_ratio,labels
698,4,22560.753868801752,15437.0,13468.5,762.6173119544983,72,660,1.7431721917357244,0.05654881447089562,0.03380282930213105,0.04940191176747414,1.221847305446497,1.521060868489307,0.5977637129692364,0.8736153397680897,0.6842413196727052,0
1324,7,34324.11285244557,25483.5,20253.5,1441.6366448402405,100,463,0.8381354642078277,0.07107960974461298,0.04200069645026601,0.056571375393499344,1.937785720619705,2.4129596362569132,0.5908965538946164,0.7958875350717131,0.7424372513151295,0
965,6,57629.98532104585,42956.0,23923.5,1055.7127648591995,100,632,1.1283186013981104,0.04417855187409033,0.018318810233561945,0.024576607804711787,1.0974146557390327,1.2116171845604198,0.41465393174884696,0.5563017971878201,0.7453758622477548,0
1752,7,65025.0,65025.0,51351.5,1819.9310202598572,67,698,1.0,0.03548730637742487,0.027988174090885925,0.027988174090885925,1.7842460982939776,1.7842460982939776,0.7886812764321415,0.7886812764321415,1.0,0
1066,10,28349.06361858826,19919.5,16862.5,1147.1858534812927,100,761,1.1172447815437492,0.06786475706822602,0.04046644604970627,0.05759109683884097,1.7007384262730003,2.1358948069907835,0.5962807176783144,0.8486156781043701,0.7026510740530751,0
1680,4,65025.0,65025.0,50796.0,1773.6122596263885,67,551,1.0,0.034919126232997096,0.027275851743581523,0.027275851743581523,1.738835548653322,1.738835548653322,0.781114955786236,0.781114955786236,1.0,0
1665,3,65025.0,64964.5,51251.0,1759.0264731645584,63,464,1.0,0.034365718282805845,0.02705154130203089,0.027076733803301164,1.7245357580044691,1.7294229823748275,0.7871664744329104,0.7878995451361898,0.9990695886197616,0
656,11,17995.080064656562,13446.5,11382.5,751.269113779068,65,293,3.6417562521143916,0.0658257350196327,0.04174858411742254,0.05587097860254103,1.1512290853816867,1.3249718239119992,0.6342289091792278,0.848771055665043,0.7472320185120903,0
539,5,17840.33657444967,12860.0,10677.0,619.7716399431229,63,367,0.4024506377096402,0.05810449912746664,0.03473990736423319,0.04819375116198467,1.0494672920639783,1.2502812428657426,0.597886702164364,0.8294323483670295,0.7208384183971989,0
840,12,31975.616393309087,23370.5,19564.0,947.6955199241638,85,191,0.5840806964328477,0.04838143352686154,0.029638068841808772,0.04055093044325812,1.2784639733809426,1.5296653729638712,0.6125917874126986,0.8381506600201108,0.7308850504251824,0
936,10,30592.265086374246,22243.5,17786.5,1060.2640614509583,93,677,2.691892812592366,0.05950856269018119,0.03465791298739754,0.04766624233825424,1.3469703195377565,1.6355958745257646,0.5824021186301653,0.8009980443725133,0.7270955562524603,0
1375,16,36592.29385100305,26431.5,21710.5,1493.0508583784103,100,578,0.9628137538884631,0.06879309136214944,0.040802330251769214,0.05648755683099371,1.950930681294961,2.440484742465768,0.5931166843044214,0.8211225242608251,0.7223242168863232,0
1869,8,65025.0,64998.5,44621.0,1982.080295920372,85,539,1.0,0.04439199310004305,0.03048181923752975,0.03049424672754559,1.9432159763925216,1.9468920276060309,0.6866512879661668,0.6869312368746971,0.9995924644367551,0
715,4,20710.67111844197,14950.5,12574.0,823.1097334623337,64,615,3.969628082805999,0.06544303187933481,0.03974326707015253,0.05505566592838592,1.1465201109694203,1.3238094811772756,0.6072956268809789,0.8412762114979432,0.7218742412787974,0
573,2,17349.55193781387,13366.5,11014.5,619.8061298131943,62,1049,0.30630262698468974,0.05625651280355746,0.035724618827896536,0.04637011407722248,0.9968120979937309,1.1448368648805836,0.6350308088353006,0.8242621479070812,0.7704233543269386,0
948,19,29547.380355898524,23085.0,18041.0,1076.4061968326569,87,650,0.49489219074425134,0.05949625231221849,0.03642983519578833,0.046627948747353556,1.4734388936196197,1.7226585216031847,0.6123047045823237,0.7837123673380983,0.7812875362194861,0
1627,14,44483.047175651416,32469.5,26836.5,1764.104681134224,100,807,0.8724156707498042,0.06571323615258512,0.03965790999362647,0.05433113171235233,2.086202942935216,2.59346264009776,0.6034995735340353,0.8267912964474353,0.729929761146686,0
846,2,31620.0,30355.0,28704.5,870.8528122901917,46,281,0.48627450980392156,0.03033801819509464,0.027541202159715106,0.02868894127129605,1.1488823381137092,1.163934319003954,0.9078115117014548,0.9456432218744852,0.9599936748893105,0
968,7,26754.20496230945,20140.0,16132.0,1040.9015827178955,91,387,1.8315605173865244,0.06440824099485772,0.038906092862198205,0.05168329606345062,1.5207871587886088,1.8256924450456113,0.604054578439806,0.8024329692154916,0.752778863299158,0
794,2,33150.0,31149.0,27617.0,814.710676908493,57,307,0.5098039215686274,0.029504605689656793,0.024576491007797678,0.026155275511525026,1.0580658141668742,1.0824171498720865,0.8329713423831071,0.8864811069376224,0.9396380090497738,0
933,7,27184.588857745402,18267.5,15856.0,1035.3107439279556,99,436,2.095183829353152,0.06496882707966212,0.03808447313092161,0.056675009931734265,1.4682633548057709,1.8158590025514856,0.5861961011582367,0.872341590255919,0.6719799992411967,0
1019,5,65025.0,65001.0,64897.5,1019.4142135381699,100,173,1.0,0.015688726305846945,0.015677265875250593,0.015683054315136228,0.9994256995472254,1.0003962662295085,0.9992695117262591,0.9996384671005062,0.9996309111880046,0
766,5,28260.972304131603,20055.0,17245.0,871.2102386951447,91,157,0.47274752529931874,0.05048152964973605,0.030827327146411676,0.04344104904987009,1.2097224928724206,1.4771116369707424,0.6106654723085013,0.8605335327848417,0.709635881744524,0
