 contours_points,amount_contours,contour_length_area_ratio,contour_length_rect_area_ratio,contour_length_hull_area_ratio,contour_rect_length_ratio,contour_hull_length_ratio,extent,solidity,aspect_ratio,hull_rectangle_ratio,corners,harris_corners,type 
 784,5,0.047167226,0.030205204,0.042335371,1.264878342,1.560101061,0.640385411,0.897559053,0.789473676,0.713474404,100,845,0 
 670,6,0.049300235,0.03098603,0.04291519,1.098094252,1.329333841,0.628516882,0.870486523,0.404033849,0.722029423,79,689,0 
 1305,9,0.067995896,0.040686803,0.053864022,1.904460294,2.342869116,0.598371449,0.792165786,0.879704602,0.75536139,100,736,0 
 793,5,0.049714396,0.030726848,0.041314832,1.233645051,1.511232217,0.618067414,0.831043631,0.535862823,0.743724386,72,517,0 
 748,3,0.044835592,0.028526495,0.038656189,1.118833093,1.309583452,0.636246652,0.862176398,0.39758227,0.737954151,67,522,0 
 670,2,0.059282565,0.037493494,0.046683974,1.133749677,1.2890365,0.632453977,0.787482365,0.336446846,0.803134146,59,970,0 
 524,2,0.0676138,0.040944681,0.055443517,0.953147604,1.073621422,0.60556692,0.820002968,0.245762712,0.738493571,34,762,0 
 638,2,0.046995527,0.030116642,0.040277534,1.053979718,1.225285127,0.640840603,0.857050366,2.687637983,0.747728055,85,448,0 
 753,3,0.07927251,0.047357813,0.065420739,1.235114245,1.413899673,0.59740524,0.825263883,4.411375422,0.72389602,65,539,0 
 748,5,0.045555206,0.029004449,0.039039947,1.130202499,1.336838269,0.636687895,0.856981012,0.401838096,0.742942826,65,492,0 
 739,25,0.075057736,0.054854221,0.06888131,1.282194493,1.366176307,0.730827014,0.917711,0.2406639,0.796358563,100,947,0 
 701,11,0.050418547,0.043400679,0.04446875,1.142059397,1.162883365,0.860807806,0.881991897,0.259183394,0.975981535,100,653,0 
 663,16,0.068354609,0.051661734,0.055155079,1.133454931,1.152440611,0.755790062,0.806896279,4.811320872,0.936663214,100,388,0 
 601,8,0.058470188,0.051553958,0.053753593,1.004531432,1.011194354,0.881713555,0.919333333,0.180392157,0.959079284,100,429,0 
 874,15,0.048454155,0.044372413,0.045029583,1.338147081,1.346097899,0.915760735,0.92932346,0.309803922,0.985405808,100,472,0 
 895,21,0.052211474,0.03161486,0.035523409,1.255288084,1.347413475,0.605515569,0.680375528,2.393402876,0.889972587,100,637,0 
 637,32,0.115766379,0.06880838,0.08930106,1.55703075,1.733453575,0.594372741,0.771390285,0.436241611,0.770521425,100,594,0 
 405,20,0.061199611,0.046042253,0.057082265,1.09107369,1.333924034,0.752329182,0.932722678,0.549826348,0.806594714,56,989,0 
 793,16,0.081727162,0.044053683,0.062866336,1.410763197,1.61419948,0.539033556,0.769222054,0.467661692,0.700751561,100,473,0 
 2020,30,0.052589818,0.033613001,0.033613001,2.142828838,2.142828838,0.639154171,0.639154171,1,1,100,665,0 
 696,16,0.076805571,0.040947548,0.060567439,1.227604758,1.39369339,0.53313253,0.788581329,0.384259259,0.676065373,100,620,0 
 800,43,0.098939664,0.052394579,0.073999506,1.362090584,1.564238789,0.529560915,0.747925583,0.269387755,0.708039579,100,385,0 
 810,21,0.105880378,0.05015157,0.071007009,1.362744741,1.499105048,0.473662551,0.67063426,0.288065844,0.706290417,100,392,0 
 785,51,0.157147902,0.0640279,0.078618289,1.559604972,1.759630287,0.407437194,0.500282141,3.1875,0.814414828,100,373,0 
 714,32,0.105421829,0.063023945,0.079111321,1.530725238,1.788923115,0.597826324,0.750426379,0.358695629,0.796648867,100,739,0 
 410,40,0.079837073,0.062384211,0.072848896,1.244815972,1.364734122,0.781394009,0.91246952,1.806451613,0.856350806,100,682,0 
 808,38,0.120651858,0.071011949,0.082765556,1.409069881,1.515955777,0.588569045,0.68598658,5.425531915,0.857989153,100,1002,0 
 673,29,0.081012589,0.047213585,0.06305116,1.270775713,1.424594523,0.582793184,0.778288417,2.808219178,0.748813899,100,632,0 
 636,10,0.060268134,0.037610455,0.049483017,1.115380197,1.28523855,0.624052101,0.821047767,0.296939834,0.760067959,78,128,0 
 641,2,0.063967472,0.041810117,0.050088726,1.147926758,1.284479424,0.65361527,0.783034316,3.275350644,0.834721106,42,221,0 
 1799,1,0.034323476,0.028640902,0.028640902,1.825857521,1.825857521,0.8344406,0.8344406,1,1,51,156,0 
 510,3,0.073257746,0.041970999,0.057196598,1.007091584,1.157247319,0.572922334,0.78075837,0.278634331,0.733802358,25,258,0 
 632,2,0.04686087,0.026581929,0.03997456,0.967938372,1.163958493,0.567252149,0.853047749,0.339901503,0.664971157,82,418,0 
 598,2,0.051520489,0.03350925,0.043685529,1.111333556,1.302592465,0.650406291,0.847925352,0.507614214,0.767056073,66,103,0 
 1918,1,0.041096572,0.031063391,0.031097817,1.980290953,1.990558418,0.75586331,0.756700999,1,0.998892973,62,259,0 
 768,6,0.029084664,0.02398255,0.026775525,1.037742336,1.082563566,0.824577159,0.920606273,0.51372549,0.895689268,53,109,0 
 771,2,0.025100196,0.02328291,0.024060074,1.017576976,1.031817872,0.927598732,0.958561221,1.917293444,0.967698996,58,214,0 
 1702,2,0.033092699,0.027206499,0.027206499,1.734414307,1.734414307,0.82212995,0.82212995,1,1,62,174,0 
 1024,3,0.033577417,0.029793372,0.031678851,1.352551147,1.397818127,0.887303872,0.943457046,1.808510813,0.940481473,69,138,0 
